id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram
dal,Dag Lundberg,1,5,2,NA,1,NA,-1,1126
jit,Jimmy Thoren,1,5,2,NA,1,NA,-1,NA
pej,Peter St James,1,5,2,NA,1,NA,-1,NA
bo,B-OK,1,5,2,NA,1,NA,21096,2094
cd,Christopher Durkin,1,5,2,NA,1,NA,640,797
ff,Francisco Moniz Oliveira Lima De Faria,1,5,2,NA,1,NA,-1,NA
rib,Riccardo Barletta,1,5,2,NA,1,NA,-1,3107
gw,Gethin Llwyd Williams,1,5,2,NA,1,NA,-1,NA
dk,Damian Ketteler,1,5,2,NA,1,NA,-1,2013
dh,Dominik Hartz,1,5,2,NA,1,NA,458240,10900
fs,Friedrich Steinke,1,5,2,NA,1,NA,55263,9328
gts,Gregori Tauchert Soler,1,5,2,NA,1,NA,-1,NA
hh,Hakon Guoni Hjartarson,1,5,2,NA,1,NA,-1,1004
jok,Joseph Knight,1,5,2,NA,1,NA,20,NA
mb,Michael Beckmann,1,5,2,NA,1,NA,9,NA
tos,Tom Stöwer,1,5,2,NA,1,NA,-1,NA
ank,Anja Krabbe,1,5,1,NA,1,NA,169,1394
tao,Tamara Olorga,1,5,1,NA,1,NA,-1,NA
juf,Julian Feifel,1,5,2,NA,1,NA,-1,7530
shz,Shayna Zaid,1,5,1,NA,1,NA,76,2889
seh,Sebastian Horn,1,5,2,NA,1,NA,23406,NA
tir,Tim Rustemeier,1,5,2,NA,1,NA,-1,629
amo,Amalie Olsen,1,5,1,NA,1,NA,45,NA
gma,Gustav Martinez Amador,1,5,2,NA,1,NA,-1,NA
kjm,Kjetil Morland,1,5,2,NA,1,NA,30055,8459
ses,Sebastian Schmidt,1,5,2,NA,1,NA,41,NA
vv,Vanja Vatle,1,5,1,NA,1,NA,19,NA
mar,Matthias Runge,1,5,2,NA,1,NA,-1,4654
seg,Sebastian Gimm,1,5,2,NA,1,NA,-1,NA
teg,Terje Grube,1,5,2,NA,1,NA,-1,NA
jf,Jam Studio Flensburg,2,5,3,NA,1,NA,-1,NA
fw,Frank Weiner,1,5,2,NA,1,NA,-1,NA
ef,Eike Freese,1,5,2,NA,1,NA,-1,2398
mz,Marcel Zürcher,1,5,2,NA,1,NA,-1,NA
sm,Schubert Music Europe GmbH,2,5,3,NA,1,NA,-1,835
tem,Teo Mandrelli,1,5,2,NA,1,NA,77898,13100
rb,Rita Bavanati,1,5,1,NA,1,NA,-1,NA
ie,Iyobed Efrem,1,5,2,NA,1,NA,3766,NA
lh,Luis Hascher,1,5,2,NA,1,NA,24,18900
bes,Benedikt Schoeller,1,5,2,NA,1,NA,-1,3665
