id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram 
hss,Harald Schmidt Show,2,3,0,2,0,0,0,0
vss,Verstehen Sie Spaß? ,2,3,0,2,0,0,0,115000
thed,The Dome,2,3,0,1,0,0,0,8329
thea,Theater for the New City,2,3,0,3,0,0,0,4833
john,John Wick: Kapitel 4,2,3,0,3,0,0,0,0
mdru,MDR um 4,2,3,0,3,0,0,0,18400
dkdl,Der König der Löwen,2,3,0,3,0,0,0,33600
free,Free European Song Contest,2,3,0,1,0,0,0,5423
zdfm,ZDF-Märchenfilm “Schneewittchen und der Zauber der Zwerge”,2,3,0,3,0,0,0,0
luke,Luke! Die Greatnightshow,2,3,0,3,0,0,0,0
allt,All Together Now,2,3,0,1,0,0,0,0
escd,ESC: deutscher Auswahlprozess,2,3,0,1,0,0,0,0
thevo,The Voice: Comeback Stage by SEAT,2,3,0,1,0,0,0,0
tin,TINA - Das Tina Turner Musical,2,3,0,3,0,0,0,9540
comi,Coming In,2,3,0,3,0,0,0,0
fuck,Fucking Berlin,2,3,0,3,0,0,0,0
nico,Nicos Weg (Deutsch lernen),2,3,0,3,0,0,0,0
bett,Bettys Diagnose,2,3,0,3,0,0,0,11400
spez,Die Spezialisten - Im Namen der Opfer,2,3,0,3,0,0,0,0
fami,Famiie Dr.Kleist,2,3,0,3,0,0,0,0
soko,SOKO Stuttgart,2,3,0,3,0,0,0,16700
star,Starmania,2,3,0,1,0,0,0,20500
geor,Georgian Idol,2,3,0,1,0,0,0,0
unse,Unser Lied für Israel,2,3,0,1,0,0,0,57
thb,TheBossHoss,1,4,2,0,4,0,650695,116000
nen,Nena,1,4,1,0,4,0,5572348,140000
xn,Xavier Naidoo,1,4,2,0,4,0,627825,439000
mah,Max Herre,1,4,2,0,4,0,621016,76600
sh,Samu Haber,1,4,2,0,2,0,98921,565000
fv,Fanta Vier ,1,4,2,0,4,0,757580,217000
sk,Stefanie Kloß,1,4,1,0,2,0,25644,0
ab,Andreas Bourani ,1,4,2,0,4,0,1041993,224000
yc,Yvonne Catterfeld,1,4,1,0,4,0,277755,290000
mf,Mark Forster,1,4,2,0,4,0,2186413,110000000
mpk,Michael Patrick Kelly,1,4,2,0,3,0,1111783,3690000
ns,Nico Santos,1,4,2,0,4,0,2828764,630000
skyc,Stefanie Kloß und Yvonne Catterfeld,1,4,1,0,0,0,0,0
shrg,Samu Haber und Rea Garvey,1,4,2,0,0,0,0,0
jo,Johannes Oerding,1,4,2,0,4,0,1018981,437000
sc,Sarah Connor,1,4,1,0,4,0,1094937,725000
pm,Peter Maffay,1,4,2,0,4,0,802060,124000
