id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram 
ss,Staffel 6,2,6,99,99,99,99,1,1
ssi,Staffel 7,2,6,99,99,99,99,1,1
sa,Staffel 8,2,6,99,99,99,99,1,1
sn,Staffel 9,2,6,99,99,99,99,1,1
prbb,Promi Big Brother,2,3,99,2,99,99,1,261000
hol,Hollywood Record,2,2,99,99,99,99,1,267000
sze,Staffel 10,2,6,99,99,99,99,1,1
sel,Staffel 11,2,6,99,99,99,99,1,1
them,The Masked Singer,2,3,99,1,99,99,1,329000
szw,Staffel 12,2,6,99,99,99,99,1,1
sdr,Staffel 13,2,6,99,99,99,99,1,1
mab,Marcus Brosch,1,5,2,99,1,99,1,58
ror,Ron Rauscher,1,5,2,99,1,99,1,236
btk,Bill und Tom Kaulitz,1,4,2,99,4,99,1,1
mr,Mathias Ramson,1,5,2,99,1,99,1,1310
thev,The Voice of Germany,2,3,99,1,99,99,1,574000
thek,The Voice Kids,2,3,99,1,99,99,1,582000
ribe,Ricardo Bettiol,1,5,2,99,1,99,1,1327
tru,Truva,1,5,2,99,1,99,1,1367
js,Jens Schneider,1,5,2,99,1,99,1,2523
mans,Manuel Stix,1,5,2,99,1,99,1,11700
germ,Germanys Next Topmodel,2,3,99,2,99,99,1,933000
anka,Ana Kalandadze,1,5,1,99,1,99,1,11700
uni,Universal Music Group,2,2,99,99,99,99,1,957000
jwka,Jonas W. Karlsson,1,5,2,99,1,99,1,11900
ia,Imram Abbas ,1,5,2,99,1,99,1,12700
euro,Eurovision Song Contest,2,3,99,1,99,99,1,13000000
maxg,Max Grund,1,5,2,99,1,99,1,13900
rm,Ricardo Munoz ,1,5,2,99,1,99,1,14700
bebb,Benedikt Behnke,1,5,2,99,1,99,1,40000
bb,Boygroup Blue,1,5,2,99,1,99,1,231000
